regions,sel_bait_type,mod_name,mod_formula,AICc,delta,model_df,deviance,d2,residual_df,lr_chisq,chisq_df,p_value_chisq,lr_signif,best_model_candidate,best_model
png,h2o,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",51.431,15.986,7,28.098,0.086,13,2.641,5,0.755,,FALSE,FALSE
tanzania,h2o,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",23.539,2.348,2,17.825,1,8,0,0,1,,FALSE,FALSE
tanzania,h2o,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",21.19,0,3,11.19,0.372,7,6.634,1,0.01,*,TRUE,TRUE
tanzania,h2o,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",27.06,5.87,4,11.06,0.379,6,6.764,2,0.034,*,FALSE,FALSE
tanzania,h2o,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",27.563,6.373,3,17.563,0.015,7,0.261,1,0.609,,FALSE,FALSE
tanzania,h2o,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",25.96,4.77,4,9.96,0.441,6,7.865,2,0.02,*,FALSE,FALSE
tanzania,h2o,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",33.306,12.115,5,8.306,0.534,5,9.519,3,0.023,*,FALSE,FALSE
tanzania,h2o,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",34.671,13.481,5,9.671,0.457,5,8.153,3,0.043,*,FALSE,FALSE
tanzania,h2o,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",77.954,56.764,7,7.954,0.554,3,9.87,5,0.079,,FALSE,FALSE
ecuador,lipid,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",39.779,13.715,2,35.179,1,21,0,0,1,,FALSE,FALSE
ecuador,lipid,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",26.065,0,3,18.801,0.466,20,16.378,1,0,***,TRUE,TRUE
ecuador,lipid,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",28.091,2.026,4,17.868,0.492,19,17.311,2,0,***,FALSE,FALSE
ecuador,lipid,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",42.265,16.2,3,35.002,0.005,20,0.177,1,0.674,,FALSE,FALSE
ecuador,lipid,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",28.753,2.689,4,18.531,0.473,19,16.648,2,0,***,FALSE,FALSE
ecuador,lipid,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",31.347,5.282,5,17.818,0.494,18,17.362,3,0.001,***,FALSE,FALSE
ecuador,lipid,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",31.015,4.951,5,17.486,0.503,18,17.693,3,0.001,***,FALSE,FALSE
ecuador,lipid,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",38.515,12.45,7,17.048,0.515,16,18.131,5,0.003,**,FALSE,FALSE
png,lipid,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",26.638,0.57,2,21.932,1,18,0,0,1,,TRUE,FALSE
png,lipid,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",27.009,0.941,3,19.509,0.111,17,2.424,1,0.12,,TRUE,FALSE
png,lipid,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",29.954,3.887,4,19.288,0.121,16,2.645,2,0.267,,FALSE,FALSE
png,lipid,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",26.068,0,3,18.568,0.153,17,3.365,1,0.067,,TRUE,FALSE
png,lipid,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",26.921,0.853,4,16.254,0.259,16,5.678,2,0.058,,TRUE,TRUE
png,lipid,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",29.689,3.621,5,15.403,0.298,15,6.529,3,0.089,,FALSE,FALSE
png,lipid,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",30.421,4.354,5,16.136,0.264,15,5.796,3,0.122,,FALSE,FALSE
png,lipid,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",37.644,11.576,7,14.31,0.348,13,7.622,5,0.178,,FALSE,FALSE
tanzania,lipid,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",20.146,0,2,14.432,1,8,0,0,1,,TRUE,TRUE
tanzania,lipid,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",24.422,4.276,3,14.422,0.001,7,0.009,1,0.923,,FALSE,FALSE
tanzania,lipid,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",29.073,8.926,4,13.073,0.094,6,1.359,2,0.507,,FALSE,FALSE
tanzania,lipid,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",23.309,3.163,3,13.309,0.078,7,1.123,1,0.289,,FALSE,FALSE
tanzania,lipid,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",29.299,9.153,4,13.299,0.079,6,1.133,2,0.567,,FALSE,FALSE
tanzania,lipid,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",36.784,16.638,5,11.784,0.183,5,2.648,3,0.449,,FALSE,FALSE
tanzania,lipid,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",36.089,15.942,5,11.089,0.232,5,3.343,3,0.342,,FALSE,FALSE
tanzania,lipid,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",78.457,58.311,7,8.457,0.414,3,5.974,5,0.309,,FALSE,FALSE
ecuador,nacl,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",40.94,0,2,36.34,1,21,0,0,1,,TRUE,FALSE
ecuador,nacl,elevation,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1)",41.077,0.137,3,33.814,0.07,20,2.526,1,0.112,,TRUE,FALSE
ecuador,nacl,elevation-poly,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2)",43.928,2.988,4,33.706,0.072,19,2.634,2,0.268,,FALSE,FALSE
ecuador,nacl,season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ seasons",41.184,0.245,3,33.921,0.067,20,2.418,1,0.12,,TRUE,FALSE
ecuador,nacl,elevation + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons",41.721,0.782,4,31.499,0.133,19,4.841,2,0.089,,TRUE,TRUE
ecuador,nacl,elevation * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 1) + seasons + poly(elevation_mean, 1):seasons",43.166,2.227,5,29.637,0.184,18,6.703,3,0.082,,FALSE,FALSE
ecuador,nacl,elevation-poly + season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons",44.922,3.983,5,31.393,0.136,18,4.947,3,0.176,,FALSE,FALSE
ecuador,nacl,elevation-poly * season,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ poly(elevation_mean, 2) + seasons + poly(elevation_mean, 2):seasons",48.933,7.993,7,27.466,0.244,16,8.874,5,0.114,,FALSE,FALSE
png,nacl,null,"cbind(n_abundance_log, max_abundance_log - n_abundance_log) ~ 1",37.629,0,2,32.924,1,18,0,0,1,,TRUE,FALSE
