regions,sel_bait_type,mod_name,model_df,AICc,delta,weight,best_model_candidate,mod_r2_partial,d2,lr_number_df,lr_log_lik,lr_df,lr_chisq,lr_pr_chisq,lr_signif,best_model
png,cho,elevation-poly * season,7,52.31514761798219,17.681498571750694,8.2847296994915e-05,FALSE,,0.03160785160937314,7,-14.490907142324431,5,0.9459524086414604,0.9668062334265932,,FALSE
png,cho_amino_acid,null,2,37.09059317382771,0,0.504416548877757,TRUE,,0,2,-16.19235541044327,0,0,1,,FALSE
png,cho_amino_acid,elevation,3,39.848002429440385,2.7574092556126715,0.127064875251532,FALSE,,0.0011335099346472925,3,-16.174001214720192,1,0.036708391446154565,0.8480599757380748,,FALSE
png,cho_amino_acid,elevation-poly,4,42.675678748938175,5.585085575110462,0.0309031964962272,FALSE,,0.011601114510268266,4,-16.004506041135755,2,0.37569873861502856,0.8287395314407774,,FALSE
png,cho_amino_acid,season,3,38.39940624611336,1.3088130722856448,0.26217071523696,TRUE,,0.04586437664946612,3,-15.449703123056679,1,1.4853045747731812,0.22294641311158475,,TRUE
png,cho_amino_acid,elevation + season,4,41.54208962684303,4.4514964530153165,0.0544702230379658,FALSE,,0.046604950992391064,4,-15.437711480088183,2,1.5092878607101738,0.47017800104205415,,FALSE
png,cho_amino_acid,elevation * season,5,45.054768365026185,7.964175191198471,0.0094056899218967,FALSE,,0.04988949107838322,5,-15.38452703965595,3,1.6156567415746395,0.6558449922719327,,FALSE
png,cho_amino_acid,elevation-poly + season,5,44.66494615115932,7.574352977331607,0.0114298222204889,FALSE,,0.06192672111643711,5,-15.189615932722518,3,2.005478955441504,0.5712703059022635,,FALSE
png,cho_amino_acid,elevation-poly * season,7,53.484983150990345,16.394389977162632,0.000138928957171522,FALSE,,0.06895417456651515,7,-15.075824908828508,5,2.2330610032295226,0.8160463994539257,,FALSE
png,h2o,null,2,35.44469757438192,0,0.486665758571548,TRUE,,0,2,-15.369407610720373,0,0,1,,FALSE
png,h2o,elevation,3,37.06420516772778,1.6195075933458583,0.216550497145253,TRUE,,0.03821260010352192,3,-14.782102583863889,1,1.1746100537129678,0.2784560194137838,,TRUE
png,h2o,elevation-poly,4,39.9366761338703,4.4919785594883805,0.0515003333435723,FALSE,,0.047783421177944346,4,-14.635004733601818,2,1.4688057542371098,0.47979186815845426,,FALSE
png,h2o,season,3,37.617710891063325,2.1730133166814056,0.164197652732561,FALSE,,0.02020586434132281,3,-15.058855445531663,1,0.6211043303774204,0.430637205749291,,FALSE
png,h2o,elevation + season,4,39.63724345746838,4.19254588308646,0.0598178803361116,FALSE,,0.05752461238016942,4,-14.485288395400858,2,1.7682384306390304,0.413077845735346,,FALSE
png,h2o,elevation * season,5,43.205201955981984,7.7605043816000645,0.010047515291728,FALSE,,0.05918665173223854,5,-14.45974383513385,3,1.8193275511730462,0.6107381031077578,,FALSE
png,h2o,elevation-poly + season,5,43.01391043866585,7.569212864283934,0.0110559763503168,FALSE,,0.06540977763797294,5,-14.364098076475784,3,2.010619068489177,0.5702056051546316,,FALSE
png,h2o,elevation-poly * season,7,51.43092582580478,15.986228251422858,0.000164386228909193,FALSE,,0.08592467568909447,7,-14.048796246235725,5,2.6412227289692964,0.7550924251409397,,FALSE
png,lipid,null,2,26.63807292271095,0.5704568168345823,0.217758544960847,TRUE,,0,2,-10.966095284884886,0,0,1,,FALSE
png,lipid,elevation,3,27.008510324474628,0.9408942185982596,0.180940483391574,TRUE,,0.11050789649055047,3,-9.754255162237314,1,2.423680245295145,0.11951385793686746,,FALSE
png,lipid,elevation-poly,4,29.954332924022914,3.886716818146546,0.0414818862635835,FALSE,,0.12057729956343724,4,-9.643833128678125,2,2.644524312413523,0.26653168318186327,,FALSE
png,lipid,season,3,26.06761610587637,0,0.289633191492215,TRUE,,0.1534080443624708,3,-9.283808052938184,1,3.3645744638934048,0.06661279141775048,,FALSE
png,lipid,elevation + season,4,26.92052830730919,0.8529122014328223,0.189077912343128,TRUE,,0.25890386603488524,4,-8.126930820321263,2,5.678328929127247,0.05847450307853658,,TRUE
png,lipid,elevation * season,5,29.688500793446174,3.6208846875698057,0.0473787076302812,FALSE,,0.29770870544220446,5,-7.701393253865945,3,6.529404062037884,0.08851006558681403,,FALSE
png,lipid,elevation-poly + season,5,30.421442984612504,4.353826878736136,0.0328417911916455,FALSE,,0.26429014705266624,5,-8.06786434944911,3,5.796461870871553,0.12194380067738085,,FALSE
png,lipid,elevation-poly * season,7,37.643579078109106,11.575962972232738,0.00088748272672598,FALSE,,0.3475231897492129,7,-7.155122872387887,5,7.621944824993999,0.1783386746765063,,FALSE
png,nacl,null,2,37.62945751384969,0,0.493568525973821,TRUE,,0,2,-16.461787580454256,0,0,1,,FALSE
png,nacl,elevation,3,39.828936977806734,2.199479463957047,0.164337456339204,FALSE,,0.01806116681422304,3,-16.164468488903367,1,0.59463818310177885,0.44063114598534325,,FALSE
png,nacl,elevation-poly,4,42.75107969382467,5.121622179974985,0.0381242520485369,FALSE,,0.02548818376039783,4,-16.042206513579004,2,0.8391621337505057,0.6573221361579283,,FALSE
png,nacl,season,3,39.305077486729715,1.6756199728800283,0.213545883350077,TRUE,,0.033972546077159785,3,-15.902538743364858,1,1.1184976741787978,0.2902421736413752,,TRUE
png,nacl,elevation + season,4,41.916886865447545,4.287429351597858,0.0578554136760895,FALSE,,0.05082543295949445,4,-15.62511009939044,2,1.6733549621276325,0.43314727531408714,,FALSE
png,nacl,elevation * season,5,43.946940464699374,6.317482950849687,0.0209663805964926,FALSE,,0.09908853962485041,5,-14.830613089492545,3,3.2623489819234237,0.35291743715418417,,FALSE
png,nacl,elevation-poly + season,5,45.18051897464154,7.55106146079185,0.0113150191997854,FALSE,,0.06162060049876059,5,-15.447402344463626,3,2.028770471981261,0.566456810522199,,FALSE
png,nacl,elevation-poly * season,7,52.528847556464214,14.899390042614527,0.000287068815993475,FALSE,,0.11323378216239724,7,-14.597757111565443,5,3.7280609377776273,0.5891936713817848,,FALSE
tanzania,amino_acid,null,2,21.66540576022401,0,0.5115405252797,TRUE,,0,2,-7.975560022969148,0,0,1,,FALSE
tanzania,amino_acid,elevation,3,22.26551983364334,0.6001140734193271,0.378936927812378,TRUE,,0.23105588834393095,3,-6.132759916821669,1,3.6856002122949576,0.05488421434679131,,TRUE
tanzania,amino_acid,elevation-poly,4,27.865580659068655,6.200174898844644,0.0230424775163743,FALSE,,0.25612868407381584,4,-5.932790329534328,2,4.085539386869641,0.1296690694896712,,FALSE
tanzania,amino_acid,season,3,25.879470785090234,4.214065024866223,0.0622024444074745,FALSE,,0.004491801242904349,3,-7.939735392545117,1,0.07164926084806211,0.7889504220655735,,FALSE
tanzania,amino_acid,elevation + season,4,27.81703433972143,6.1516285794974195,0.0236086346664612,FALSE,,0.25917212674162937,4,-5.9085171698607155,2,4.134085706216865,0.12655948387094032,,FALSE
tanzania,amino_acid,elevation * season,5,36.595581339173805,14.930175578949793,0.000292977056376525,FALSE,,0.2730553524906586,5,-5.797790669586902,3,4.3555387067644915,0.2255435591823749,,FALSE
tanzania,amino_acid,elevation-poly + season,5,36.096521115716314,14.431115355492302,0.000376013261155138,FALSE,,0.304342197678973,5,-5.548260557858157,3,4.854598930221982,0.18275903681257555,,FALSE
tanzania,amino_acid,elevation-poly * season,7,80.61777190258726,58.95236614236325,8.08232648430369e-14,FALSE,,0.33435571470788883,7,-5.308885951293632,5,5.3333481433510315,0.3765659592307035,,FALSE
tanzania,cho,null,2,18.720765370289364,0,NA,TRUE,,0,2,-6.503239828001824,0,0,1,,TRUE
tanzania,cho,elevation,3,20.903431797083613,2.182666426794249,NA,FALSE,,0.16169231910106374,3,-5.451715898541806,1,2.1030478589200357,0.1470058482928522,,FALSE
