sp_code,subfamily,genus,guild,regions,sites,elevational_bands,transect_number,trap_number_code,elevation,latitude,longitude,bait_type,abundance,seasons,dates,habitat,exposure_time,et_pcode,exl_food_pref,excl_occupancy
phei_017,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_055_a,260,-5.73482,145.33103,nacl,4,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
NA,NA,NA,NA,png,png_200_m,200,2,200_fp_h_056_a,263,-5.73476,145.33101,h2o,0,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
rhyt_002,ectatomminae,rhytidoponera,predator_scavenger,png,png_200_m,200,2,200_fp_h_057_a,262,-5.73476,145.33089,lipid,3,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
crem_003,myrmicinae,crematogaster,generalistic,png,png_200_m,200,2,200_fp_h_058_a,264,-5.73471,145.33087,amino_acid,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,2,200_fp_h_058_a,264,-5.73471,145.33087,amino_acid,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
phei_028,myrmicinae,pheidole,generalistic,png,png_200_m,200,2,200_fp_h_059_a,264,-5.7346,145.33085,lipid,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
odon_001,ponerinae,odontomachus,predator_scavenger,png,png_200_m,200,2,200_fp_h_060_a,263,-5.73464,145.33076,cho_amino_acid,1,dry,24_jun_2012,natural_rainforest,60,200_2,FALSE,FALSE
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,1,200_fp_h_001_b,217,-5.73702,145.33487,lipid,8,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
phei_019,myrmicinae,pheidole,generalistic,png,png_200_m,200,1,200_fp_h_001_b,217,-5.73702,145.33487,lipid,13,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
crem_010,myrmicinae,crematogaster,generalistic,png,png_200_m,200,1,200_fp_h_002_b,212,-5.73701,145.33489,nacl,2,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,1,200_fp_h_002_b,212,-5.73701,145.33489,nacl,2,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_003,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_003_b,209,-5.73693,145.33468,h2o,4,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
para_005,formicinae,nylanderia,generalistic,png,png_200_m,200,1,200_fp_h_003_b,209,-5.73693,145.33468,h2o,3,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
phei_019,myrmicinae,pheidole,generalistic,png,png_200_m,200,1,200_fp_h_003_b,209,-5.73693,145.33468,h2o,17,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_004_b,212,-5.73691,145.33465,cho,4,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
tetr_018,myrmicinae,tetramorium,predator_scavenger,png,png_200_m,200,1,200_fp_h_005_b,212,-5.73692,145.33459,cho_amino_acid,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_006_b,212,-5.73697,145.33463,amino_acid,3,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
stru_001,myrmicinae,strumigenys,predator_scavenger,png,png_200_m,200,1,200_fp_h_006_b,212,-5.73697,145.33463,amino_acid,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_003,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_007_b,214,-5.73679,145.33447,lipid,34,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_008_b,211,-5.73671,145.33439,nacl,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_003,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_008_b,211,-5.73671,145.33439,nacl,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
phei_019,myrmicinae,pheidole,generalistic,png,png_200_m,200,1,200_fp_h_008_b,211,-5.73671,145.33439,nacl,4,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
phei_003,myrmicinae,pheidole,predator_scavenger,png,png_200_m,200,1,200_fp_h_009_b,213,-5.73664,145.33438,h2o,12,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_009_b,213,-5.73664,145.33438,h2o,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_009_b,213,-5.73664,145.33438,h2o,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_010_b,205,-5.73656,145.3344,cho,3,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_010_b,205,-5.73656,145.3344,cho,8,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
anop_001,formicinae,anoplolepis,generalistic,png,png_200_m,200,1,200_fp_h_011_b,205,-5.73646,145.33441,cho_amino_acid,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_011_b,205,-5.73646,145.33441,cho_amino_acid,1,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
mono_002,myrmicinae,monomorium,generalistic,png,png_200_m,200,1,200_fp_h_012_b,203,-5.73635,145.33453,amino_acid,4,wet,6_nov_2012,natural_rainforest,60,200_1,FALSE,FALSE
